,$log(s_C)$,$log(δ_C)$,$log(p_0)$,est_$log(s_C)$,est_$log(δ_C)$,est_$log(p_0)$,ratio_$log(s_C)$,ratio_$log(δ_C)$,ratio_$log(p_0)$
0,-1.410715103149414,-5.429444789886475,-7.29045295715332,-1.4547593593597412,-5.302059173583984,-5.285446643829346,0.03074375700964543,-0.02374161165823561,-0.3216085507748494
1,-0.990627646446228,-4.802175998687744,-3.6650352478027344,-0.9885740280151367,-4.80461311340332,-3.669170379638672,-0.002075199505512181,0.0005073734292325848,0.0011276292168939024
2,-1.7715566158294676,-4.2646827697753915,-6.084330558776856,-1.7975811958312988,-4.225393295288086,-3.10855770111084,0.014583377053352048,-0.009255454169882773,-0.6715578484761883
3,-0.7195988893508911,-5.687187671661377,-3.342589378356933,-0.7509593963623047,-5.480295181274414,-3.110879421234131,0.0426576255575227,-0.037056903191159445,-0.0718403112889569
4,-0.7172479629516602,-5.116330146789551,-4.797213077545166,-0.7205519676208496,-5.097367286682129,-4.744940757751465,0.004595925225307603,-0.0037132256989854304,-0.010956193661184895
5,-0.8619278669357299,-5.512759208679199,-4.721961498260497,-0.8621904850006104,-5.501178741455078,-4.6807074546813965,0.000304640417076484,-0.0021028757459933115,-0.008775020901423845
6,-0.7950609922409058,-3.5176773071289062,-4.685239315032959,-0.7963306903839111,-3.513414144515991,-4.670638561248779,0.0015957082423969603,-0.0012126604140097286,-0.003121196285472778
7,-1.0357015132904053,-3.368194580078125,-4.94245433807373,-1.03509521484375,-3.3718879222869873,-5.041202545166016,-0.0005855702355935385,0.0010959339376720978,0.019782616463656113
8,-1.3024688959121704,-3.7537465095520015,-5.1139678955078125,-1.2985553741455078,-3.765793800354004,-4.920433044433594,-0.003009218149111752,0.003204265317630736,-0.03857905529166973
9,-1.9548181295394895,-3.934054374694824,-6.332348823547363,-1.6873177289962769,-3.9421610832214355,-1.0753307342529297,-0.14715703525724183,0.0020585296155591353,-1.773042955469091
10,-1.1927473545074463,-4.643048763275146,-3.657834529876709,-1.2059968709945679,-4.593437194824219,-3.8225765228271484,0.011047156335549086,-0.010742623501915736,0.044053363862249784
11,-1.4902734756469727,-5.211965084075928,-3.880512237548828,-1.5392670631408691,-5.081676483154297,-3.313596725463867,0.03234672628955815,-0.025315736583010395,-0.15793294146047673
12,-1.186140537261963,-4.934660911560059,-6.536543369293213,-1.1776237487792969,-4.964999675750732,-4.530609130859375,-0.007206154512428956,0.006129272595469835,-0.3665520925103996
13,-1.7174395322799683,-5.318647861480713,-5.402566432952881,-1.2130820751190186,-5.72286319732666,-1.8193531036376953,-0.347670247080246,0.07325012945377604,-1.0883931056849667
14,-1.3475993871688843,-3.29154634475708,-6.660123825073241,-1.345327377319336,-3.294809103012085,-5.379960060119629,-0.0016873911452761489,0.0009907629637590993,-0.2134571263562507
15,-1.0169081687927246,-4.784905433654785,-5.446112632751465,-1.0146243572235107,-4.795627593994141,-5.427287578582764,-0.0022483642295158027,0.0022383232300320125,-0.0034625917581368897
16,-1.4711859226226807,-3.379844188690185,-3.486999988555908,-1.4679083824157715,-3.38478946685791,-3.951575756072998,-0.0022303071799395246,0.001462098112184408,0.12507266053989077
17,-0.828383207321167,-5.050052642822266,-3.9800233840942383,-0.8285346031188965,-5.0522780418396,-3.963207244873047,0.00018274388409234655,0.0004405714132302844,-0.004234086892166752
18,-0.9022839069366456,-5.7525634765625,-3.345409393310547,-0.9330097436904907,-5.55235481262207,-3.122884750366211,0.033486420951215144,-0.03542344913593272,-0.06883190160171572
19,-0.9331793785095216,-4.637895107269287,-7.867043972015379,-0.9310451745986938,-4.646126747131348,-6.839692115783691,-0.0022896435299533365,0.0017732922537737627,-0.13993966644856778
20,-1.1850723028182983,-5.146810054779053,-7.853155612945555,-1.181046724319458,-5.1423797607421875,-4.659411430358887,-0.003402687977043412,-0.0008611551327335835,-0.5220263022660542
21,-1.7075073719024658,-4.789363861083984,-7.586891174316406,-1.2986968755722046,-5.162562370300293,-1.7182059288024902,-0.27367327150029525,0.07503544264410504,-1.4851412307437488
22,-0.766116738319397,-4.990633964538574,-7.2911272048950195,-0.769221305847168,-4.970385551452637,-7.148102283477783,0.004044154016608085,-0.004065535850666512,-0.019811250931047478
23,-0.8919448852539062,-5.743603229522705,-6.789673805236816,-0.8924452066421509,-5.7200236320495605,-6.8570733070373535,0.0005607758120024135,-0.004113816859525687,0.009877819126654998
24,-1.8071631193161009,-3.4364547729492188,-7.0750155448913565,-1.808091640472412,-3.431771755218506,-3.7271976470947266,0.0005136684623474459,-0.0013636761796436566,-0.6409129904440118
25,-1.2478818893432615,-5.837395191192626,-3.543144702911377,-1.298353672027588,-5.644518852233887,-5.436779975891113,0.03964943024567857,-0.03359970879057319,0.4281723024536431
