,line,log_prob,log(s_cnv),log(m_cnv),log(s_snv),log(m_snv)
gap1_1,wt,11.732975959777832,-0.8219257593154907,-3.952566146850586,-0.8220480680465698,-4.085043907165527
gap1_2,wt,12.146734237670898,-0.899989128112793,-3.8219799995422363,-0.8465538024902344,-4.720985412597656
gap1_3,wt,11.328024864196777,-1.0227067470550537,-3.8918120861053467,-1.0690209865570068,-3.8752036094665527
gap1_4,wt,8.12102222442627,-0.9514766931533813,-5.252347469329834,-0.9583220481872559,-6.118912220001221
gap1_5,wt,12.551188468933105,-0.8548716306686401,-3.584520101547241,-0.8058936595916748,-4.513317584991455
gap1_ltr_1,ltr,11.811647415161133,-1.0445562601089478,-3.5194034576416016,-0.9922537803649902,-3.817349672317505
gap1_ltr_3,ltr,11.641298294067383,-0.8493176698684692,-4.204064846038818,-0.8277186155319214,-4.646794319152832
gap1_ltr_4,ltr,11.338964462280273,-0.8112293481826782,-4.439911842346191,-0.7833244800567627,-4.716370582580566
gap1_ltr_5,ltr,10.17686653137207,-0.7405732870101929,-5.094973087310791,-0.7872481346130371,-5.239730358123779
gap1_ltr_6,ltr,11.2034912109375,-0.7859827280044556,-4.659825801849365,-0.770427942276001,-5.044401168823242
gap1_ltr_7,ltr,11.133950233459473,-0.7723966836929321,-4.769731521606445,-0.7461174726486206,-5.388394355773926
gap1_ltr_8,ltr,10.998039245605469,-0.708490252494812,-4.859067916870117,-0.7041810750961304,-5.495129585266113
gap1_ars_1,ars,3.37613582611084,-1.1392390727996826,-4.441825866699219,-1.999224066734314,-5.320422649383545
gap1_ars_3,ars,6.385901927947998,-0.7027984857559204,-6.637478828430176,-0.7099869251251221,-6.999413013458252
gap1_ars_4,ars,10.278122901916504,-1.0151268243789673,-4.571566581726074,-0.9506638050079346,-5.36178731918335
gap1_ars_5,ars,9.819524765014648,-0.8406744003295898,-5.274233341217041,-0.8215981721878052,-6.347042560577393
gap1_ars_6,ars,10.734922409057617,-0.885495662689209,-4.676182270050049,-0.9148726463317871,-5.104756832122803
gap1_ars_7,ars,7.090486526489258,-0.7466040849685669,-6.130368232727051,-0.8802216053009033,-6.011855125427246
gap1_ars_8,ars,8.846439361572266,-0.9010747671127319,-5.174498558044434,-0.9977670907974243,-5.116548538208008
gap1_all_1,all,9.470724105834961,-1.0008337497711182,-4.064678192138672,-1.23325777053833,-3.755788803100586
gap1_all_2,all,8.877202033996582,-1.1357624530792236,-3.8631319999694824,-1.5406361818313599,-2.5399413108825684
gap1_all_3,all,9.092883110046387,-1.0310170650482178,-4.070535659790039,-1.4274924993515015,-2.6960973739624023
gap1_all_4,all,8.19196891784668,-1.0457255840301514,-4.162154197692871,-1.4638257026672363,-3.4917163848876953
gap1_all_5,all,11.277673721313477,-0.8970046043395996,-4.187716484069824,-0.9243932962417603,-4.697710990905762
gap1_all_6,all,7.528456687927246,-1.0624759197235107,-3.968217611312866,-1.3264187574386597,-5.597980499267578
gap1_all_7,all,8.484370231628418,-0.9875239133834839,-4.440585136413574,-1.260533094406128,-3.8977811336517334
gap1_all_8,all,9.310216903686523,-0.9897681474685669,-3.964132785797119,-1.2527611255645752,-3.8138320446014404
