,line,$log_{10}(s_C)$,$log_{10}(s_C)$.1,$log_{10}(s_C)$.2
0,wt,-0.727873682975769,-4.381011009216309,-3.831320762634277
1,wt,-0.7436087131500244,-4.302219390869141,-3.711145401000977
2,wt,-0.7264305353164673,-4.394049644470215,-3.8509058952331534
3,wt,-0.7443102598190308,-4.288383483886719,-3.71696138381958
4,wt,-0.739526629447937,-4.349935531616211,-3.780665397644043
5,wt,-0.7348076105117798,-4.356822490692139,-3.784440517425537
6,wt,-0.7295869588851929,-4.376673221588135,-3.81684160232544
7,wt,-0.7381510734558105,-4.344371795654297,-3.778401374816896
8,wt,-0.7456709146499634,-4.279126167297363,-3.699897766113281
9,wt,-0.7303975820541382,-4.382381439208984,-3.805942535400391
10,wt,-0.7427396774291992,-4.332131862640381,-3.7507266998291016
11,wt,-0.7450083494186401,-4.288923263549805,-3.7021641731262207
12,wt,-0.7230945825576782,-4.436816692352295,-3.892306327819824
13,wt,-0.7367360591888428,-4.344220161437988,-3.7805099487304688
14,wt,-0.7388584613800049,-4.316074371337891,-3.737095355987549
15,wt,-0.7358654737472534,-4.359807968139648,-3.780661106109619
16,wt,-0.7471637725830078,-4.303016185760498,-3.713610172271729
17,wt,-0.7404975891113281,-4.3230695724487305,-3.732488632202149
18,wt,-0.754027247428894,-4.2664570808410645,-3.664057731628418
19,wt,-0.7543891668319702,-4.255370616912842,-3.655107498168945
20,wt,-0.7260946035385132,-4.4176554679870605,-3.865272521972656
21,wt,-0.7344132661819458,-4.36180305480957,-3.780776023864746
22,wt,-0.7522873878479004,-4.290267467498779,-3.706159114837648
23,wt,-0.7324669361114502,-4.380428791046143,-3.809678554534912
24,wt,-0.7481684684753418,-4.296181201934815,-3.718236923217773
25,wt,-0.7492154836654663,-4.291702747344971,-3.691567897796631
26,wt,-0.7422494888305664,-4.339084148406982,-3.7721900939941406
27,wt,-0.7453927993774414,-4.3041839599609375,-3.733527183532715
28,wt,-0.740139365196228,-4.3277997970581055,-3.74996566772461
29,wt,-0.7531023025512695,-4.254806995391846,-3.664736747741699
30,wt,-0.7572708129882812,-4.240594863891602,-3.647195816040039
31,wt,-0.7433774471282959,-4.316835403442383,-3.7526426315307617
32,wt,-0.7269006967544556,-4.380289554595947,-3.825929641723633
33,wt,-0.7242025136947632,-4.421533107757568,-3.877213478088379
34,wt,-0.7247952222824097,-4.422128677368164,-3.870738029479981
35,wt,-0.7458305358886719,-4.325361251831055,-3.7363762855529785
36,wt,-0.731823205947876,-4.379044532775879,-3.800532341003418
37,wt,-0.7442128658294678,-4.313878059387207,-3.735506534576416
38,wt,-0.7377443313598633,-4.332475185394287,-3.760432720184326
39,wt,-0.7564640045166016,-4.260793685913086,-3.6616382598876953
40,wt,-0.7316683530807495,-4.380853176116943,-3.8187155723571777
41,wt,-0.7524148225784302,-4.254258155822754,-3.66682243347168
42,wt,-0.7236799001693726,-4.412482261657715,-3.861852645874024
43,wt,-0.7426259517669678,-4.301356315612793,-3.73998498916626
44,wt,-0.7310594320297241,-4.385277271270752,-3.83148717880249
45,wt,-0.7467268705368042,-4.316753387451172,-3.723801612854004
46,wt,-0.7325884103775024,-4.387053489685059,-3.809304237365722
47,wt,-0.756353497505188,-4.264747619628906,-3.6696290969848633
48,wt,-0.745274543762207,-4.310414791107178,-3.720185279846192
49,wt,-0.7449060678482056,-4.314436435699463,-3.741211414337158
50,wt,-0.7462822198867798,-4.292567253112793,-3.717340469360352
51,wt,-0.7483605146408081,-4.30430793762207,-3.7231125831604
52,wt,-0.7224413156509399,-4.419281005859375,-3.880528450012207
53,wt,-0.7427856922149658,-4.3065032958984375,-3.73506212234497
54,wt,-0.7352594137191772,-4.377477169036865,-3.809450626373291
55,wt,-0.7367899417877197,-4.370500564575195,-3.8046483993530273
56,wt,-0.7366288900375366,-4.337677001953125,-3.769303321838379
57,wt,-0.7474182844161987,-4.304229736328125,-3.7275238037109375
58,wt,-0.7465180158615112,-4.3028669357299805,-3.719172477722168
59,wt,-0.7433913946151733,-4.290528297424316,-3.7174973487854
60,wt,-0.7422749996185303,-4.298644065856934,-3.731377601623535
61,wt,-0.728195309638977,-4.404294967651367,-3.8419508934021
62,wt,-0.7426941394805908,-4.3052473068237305,-3.736372947692871
63,wt,-0.7423373460769653,-4.347011566162109,-3.764247894287109
64,wt,-0.7414671182632446,-4.315610885620117,-3.7358999252319336
