,line,log_prob,log(s_cnv),log(m_cnv),log(p_0)
gln_01,lauer,11.510791778564453,-1.050890823332336,-4.683627793613739,-3.8542713567839195
gln_02,lauer,10.82840633392334,-1.0260493537561253,-4.972608683562365,-4.180904522613066
gln_03,lauer,11.36841869354248,-0.9805066595330724,-4.897222364445332,-4.582914572864322
gln_04,lauer,10.668174743652344,-0.9473847000981249,-5.236460800471981,-5.035175879396984
gln_05,lauer,10.933382034301758,-0.9515249450274933,-5.299282733069508,-4.85929648241206
gln_06,lauer,10.220255851745605,-0.9184029855925459,-5.412362211745058,-5.4120603015075375
gln_07,lauer,-13.753270149230957,-0.9349639653100196,-5.5003129173815966,-4.78391959798995
gln_08,lauer,9.542243003845215,-0.9225432305219143,-5.5003129173815966,-5.5879396984924625
gln_09,lauer,10.794371604919434,-0.9266834754512827,-5.362104665667036,-4.733668341708542
bc01,lauer,11.993247032165527,-0.8521590667226508,-4.633370247535717,-4.532663316582914
bc02,lauer,12.240617752075195,-1.1129944972728625,-3.8041207372483528,-3.8291457286432156
