,line,log_prob,log(s_cnv),log(m_cnv),log(s_snv),log(m_snv)
gln_01,lauer,6.72214937210083,-1.1986302137374878,-4.064155578613281,-1.1658443212509155,-4.909846782684326
gln_02,lauer,6.498083114624023,-1.2126641273498535,-4.053652763366699,-1.289304494857788,-4.244349002838135
gln_03,lauer,6.462130546569824,-1.1528518199920654,-3.9548213481903076,-1.2648097276687622,-4.471528053283691
gln_04,lauer,6.269276142120361,-1.1150822639465332,-4.1841840744018555,-1.4056305885314941,-4.357194423675537
gln_05,lauer,6.421220302581787,-1.1468424797058105,-4.184974193572998,-1.2430881261825562,-4.726536750793457
gln_06,lauer,6.086596488952637,-1.0370063781738281,-4.465056419372559,-1.497514009475708,-4.261115074157715
gln_07,lauer,6.5449299812316895,-1.184645414352417,-4.162261486053467,-1.2124252319335938,-4.922664642333984
gln_08,lauer,5.97310209274292,-1.0234169960021973,-4.641346454620361,-1.5572352409362793,-3.9882335662841797
gln_09,lauer,6.71757173538208,-1.2115180492401123,-3.921583890914917,-1.1662440299987793,-5.063760757446289
bc01,lauer,7.058643817901611,-0.9995300769805908,-3.947082996368408,-0.9579603672027588,-5.688093185424805
bc02,lauer,6.647611141204834,-1.1183278560638428,-3.80041766166687,-1.2342052459716797,-4.644819259643555
