,mean RMSE,line
gap1_1,0.0369189084932271,wt
gap1_2,0.0500239187454339,wt
gap1_3,0.0288555035083526,wt
gap1_4,0.1098966662122522,wt
gap1_5,0.0416294112719992,wt
gap1_ltr_1,0.0194349856098108,ltr
gap1_ltr_3,0.0301303702680815,ltr
gap1_ltr_4,0.0828462769556669,ltr
gap1_ltr_5,0.0558036756009018,ltr
gap1_ltr_6,0.026977243444347,ltr
gap1_ltr_7,0.0195413775057674,ltr
gap1_ltr_8,0.0443452128911332,ltr
gap1_ars_1,0.0686876196460384,ars
gap1_ars_3,0.0879934899199816,ars
gap1_ars_4,0.0170958252871249,ars
gap1_ars_5,0.0264404269071738,ars
gap1_ars_6,0.018489750018044,ars
gap1_ars_7,0.0321125511620079,ars
gap1_ars_8,0.0267614314788336,ars
gap1_all_1,0.0136104630243305,all
gap1_all_2,0.0145307403955525,all
gap1_all_3,0.0890610383615472,all
gap1_all_4,0.0157752243156659,all
gap1_all_5,0.0925310634020068,all
gap1_all_6,0.0201324800662478,all
gap1_all_7,0.0098804460968948,all
gap1_all_8,0.0188938826474568,all
