,line,log_prob,log(s_cnv),log(m_cnv),log(p_0)
gln_01,lauer,12.088722229003906,-1.0519226789474487,-4.6760640144348145,-3.8581576347351074
gln_02,lauer,11.263242721557617,-1.0237151384353638,-4.984990119934082,-4.1812944412231445
gln_03,lauer,11.662069320678711,-0.9824029803276062,-4.890977382659912,-4.5760369300842285
gln_04,lauer,10.953496932983398,-0.9450423121452332,-5.252338886260986,-5.0397257804870605
gln_05,lauer,11.041285514831543,-0.9523281455039978,-5.290216445922852,-4.844445705413818
gln_06,lauer,10.411362648010254,-0.9164538979530334,-5.424866199493408,-5.430844306945801
gln_07,lauer,10.082305908203125,-0.9002227187156677,-5.831341743469238,-5.114987850189209
gln_08,lauer,10.07971477508545,-0.9198288321495056,-5.5323944091796875,-5.595343112945557
gln_09,lauer,11.035872459411621,-0.9272825121879578,-5.35653829574585,-4.715259552001953
bc01,lauer,12.058748245239258,-0.8525905609130859,-4.628741264343262,-4.5245561599731445
bc02,lauer,12.58700942993164,-1.111117959022522,-3.809526205062866,-3.8375158309936523
